time/total_timesteps,train/reward,time/iterations,time/fps,time/time_elapsed,train/value_loss,train/policy_gradient_loss,train/n_updates,train/approx_kl,train/loss,train/entropy_loss,train/learning_rate,train/std,train/clip_range,train/explained_variance,train/clip_fraction
172160,10.79081,1345,2251,76,5061.440600585937,-4.419381730258465e-05,13440,3.9068982e-07,2043.9744873046875,-1.405495947599411,1.3575277728743006e-05,0.9866883754730225,0.2,0.00041222572326660156,0.0
172288,33.416412,1346,2251,76,1612.6463623046875,-7.661222480237484e-05,13450,9.108335e-07,747.6889038085938,-1.4055680930614471,1.3575277728743006e-05,0.9867419004440308,0.2,0.0008260011672973633,0.0
172416,2.5209281,1347,2251,76,2257.7692138671873,-0.00022387299686670302,13460,5.9660524e-06,1143.75537109375,-1.4056266129016877,1.3575277728743006e-05,0.9868173003196716,0.2,0.0006592869758605957,0.0
172544,39.23619,1348,2251,76,8732.64130859375,2.3485813289880753e-05,13470,5.578622e-07,3692.6728515625,-1.4056903719902039,1.3575277728743006e-05,0.9868518710136414,0.2,-0.00029098987579345703,0.0
172672,-0.8723187,1349,2251,76,5843.996557617187,-1.175221404992044e-05,13480,3.678724e-08,2646.498046875,-1.4057051181793212,1.3575277728743006e-05,0.9868543148040771,0.2,0.00045806169509887695,0.0
172800,17.112482,1350,2251,76,3093.6666015625,-0.0003250005654990673,13490,6.582588e-06,1561.84814453125,-1.4057203233242035,1.3575277728743006e-05,0.9868952035903931,0.2,0.0009262561798095703,0.0
172928,10.774353,1351,2251,76,9460.17060546875,-0.00035037924535572527,13500,5.874783e-06,4794.615234375,-1.4057557225227355,1.3575277728743006e-05,0.986894965171814,0.2,0.00020569562911987305,0.0
173056,-5.885234,1352,2251,76,10440.71728515625,-0.0001973271369934082,13510,4.1238964e-06,5300.57958984375,-1.4057361245155335,1.3575277728743006e-05,0.9868775606155396,0.2,9.882450103759766e-05,0.0
173184,14.176483,1353,2251,76,3656.6965454101564,-0.00010241142008453608,13520,1.3448298e-06,1810.724609375,-1.4057414829730988,1.3575277728743006e-05,0.9869135618209839,0.2,0.000679314136505127,0.0
173312,4.3621445,1354,2251,76,2065.7544555664062,-0.00044460990466177464,13530,5.9222803e-06,1143.8763427734375,-1.405788815021515,1.3575277728743006e-05,0.9869589805603027,0.2,0.0017963051795959473,0.0
173440,6.45677,1355,2251,77,2808.7390014648436,-0.0005153629230335355,13540,9.935815e-06,1457.2362060546875,-1.4058235943317414,1.3575277728743006e-05,0.9869763851165771,0.2,0.0020971298217773438,0.0
173568,-15.503133,1356,2251,77,3382.0155639648438,-0.0001811840571463108,13550,2.8586946e-06,1432.3375244140625,-1.405817711353302,1.3575277728743006e-05,0.9869443774223328,0.2,0.0015173554420471191,0.0
173696,-0.45214963,1357,2251,77,13951.046630859375,-6.54574716463685e-05,13560,8.1351027e-07,6454.38134765625,-1.4057872116565704,1.3575277728743006e-05,0.9869320392608643,0.2,0.0018442273139953613,0.0
173824,-4.6448736,1358,2251,77,1885.5829223632813,-0.0013579875696450472,13570,8.619903e-05,980.5510864257812,-1.4057034254074097,1.3575277728743006e-05,0.9867048859596252,0.2,-0.0006700754165649414,0.0
