date,A2C Agent 1,A2C Agent 2,A2C Agent 3,SAC Agent 1,SAC Agent 2,SAC Agent 3,PPO Agent 1,PPO Agent 2,PPO Agent 3,TD3 Agent 1,TD3 Agent 2,TD3 Agent 3,mvo,djia
2025-05-09 14:30:00+00:00,888841.1811424408,934748.1867061256,1663246.668296774,887790.0107931823,938366.3891224326,1456930.5486093592,889015.0208073806,945156.9797769376,1624130.8172512306,887790.0107931823,938366.3891224326,1456930.5486093592,807168.6936592268,942456.5798669775
2025-05-09 15:30:00+00:00,888134.7679649506,934042.0203815697,1662833.0158446438,887084.4301047059,937751.645025047,1455778.2140725914,888308.4226323318,944902.5037376395,1623624.856125533,887084.4301047059,937751.645025047,1455778.2140725914,806527.1425236221,940862.578321133
2025-05-09 16:30:00+00:00,889242.1073280488,935574.558261163,1665643.9799151057,888190.4644980164,939185.3348221863,1457655.9593135822,889416.0519887161,946862.4432910371,1626185.792765843,888190.4644980164,939185.3348221863,1457655.9593135822,807532.8072656353,941342.2770072188
2025-05-09 17:30:00+00:00,890387.6689811859,937315.5406609079,1668918.3429537204,889334.6761374206,940943.9862332987,1460221.8847760786,890561.913644905,948565.5172697157,1628360.6491123228,889334.6761374206,940943.9862332987,1460221.8847760786,808573.1847711719,941531.0708570875
2025-05-09 18:30:00+00:00,891496.523252121,938593.8705878549,1671677.531853154,890442.2236532898,942357.0354611308,1462556.8232819068,891671.0583058548,950382.5968896323,1631178.6599265,890442.2236532898,942357.0354611308,1462556.8232819068,809580.2253239346,942495.1947639984
2025-05-09 19:30:00+00:00,890698.4581504975,937812.6528542568,1670683.9964519215,889645.0990500184,941823.6584533944,1462207.0428956295,890872.7842045975,949586.1574644378,1630264.1071230846,889645.0990500184,941823.6584533944,1462207.0428956295,808855.4376379912,941515.5535543585
2025-05-12 13:30:00+00:00,923074.0196586762,972512.1593673053,1732323.8622075778,921982.5068258973,977096.9091236962,1515522.618558193,923256.8243199539,984667.1615390615,1689755.720225311,921982.5068258973,977096.9091236962,1515522.618558193,838258.3124898005,962992.927409612
2025-05-12 14:30:00+00:00,929117.919271103,979537.1137217901,1744043.7029716654,928019.2838644715,984079.8936294635,1526040.0084643879,929302.3067265701,991301.9733056381,1700941.430463634,928019.2838644715,984079.8936294635,1526040.0084643879,843747.2682219255,963231.4836440941
2025-05-12 15:30:00+00:00,934615.8111396943,985334.2995408993,1754834.6335800516,933510.6966147156,990280.6143091922,1535498.5730811202,934801.6383992386,997949.3861123804,1711117.1844036782,933510.6966147156,990280.6143091922,1535498.5730811202,848740.350010488,962795.2155696691
2025-05-12 16:30:00+00:00,936832.0630394135,987676.3301868252,1759283.2818408618,935724.3367209168,993098.0892451508,1540147.0282727897,937018.4706975174,1000418.891565088,1716332.3071987813,935724.3367209168,993098.0892451508,1540147.0282727897,850753.1082210619,965792.9979330775
2025-05-12 17:30:00+00:00,937393.3946586762,988321.6254156161,1761057.7751081213,936285.0068258973,993968.3981355905,1541162.379543167,937579.9493199539,1002047.1578277595,1717886.6733916714,936285.0068258973,993968.3981355905,1541162.379543167,851262.8990195126,967134.7987196264
2025-05-12 18:30:00+00:00,936247.833005539,987647.3266927208,1759464.0530401503,935140.795186493,993295.8635695894,1540293.6245514227,936434.087663765,1001169.2427645493,1716661.3913716949,935140.795186493,993295.8635695894,1540293.6245514227,850222.521513976,966543.0008983092
2025-05-12 19:30:00+00:00,939340.8086830291,991835.4227828588,1765292.61232654,938230.1258749694,997589.5142882019,1545513.827177304,939527.8733388137,1004635.1473837972,1723371.6229204538,938230.1258749694,997589.5142882019,1545513.827177304,853031.5037378661,968302.2528002267
